text,fake
"Ми пішли до лікаря з дитиною, нас перевірили, а потім лікар постановив діагноз і приписав лікування, і це відбувалося досить швидко, але я все ще відчувала себе неловко, а лікар був дуже добрий, і він нам допоміг, і ми задоволені результатом, але ми все ще повинні подивитися, як це відбувається.",1
"Я була трохи нервова, коли пішла до терапевта, бо мене навчав сімейний лікар, але лікар був дуже добрий і слухаючий, і він зробив аналіз і постановив діагноз, а потім він доручив курс лікування, який включав певні ліки, які мені потрібно було приймати протягом певного часу, а лікар також рекомендував змінити свій спосіб життя, щоб поліпшити моє здоров'я. В цілому візит пройшов добре, але я все ще хвилююся про результати моїх тестів. Я сподіваюся, що лікування допоможе мені швидко подолати хворобу.",1
"Усе відбулось швидко, компетентно. Ніяких зауважень не маю.",0
Мне все понравилось. Доктор все качественно об'яснил. Отношение било хорошее. Консультация мне понравилась.,0
"Я відвідував хірурга під час гострої хвороби з високою температурою та сильними болями. лікар здійснив перевірку і приписав відповідне лікування. Все це відбулося дуже швидко і професійно. Я дуже вдячний лікаря за хірургічну допомогу і доброзичливий ставлення! стан повільно покращується, я вдячний за догляд і підтримку.",1
"Все хорошо. Ми довольни, дальше будем у доктора обследоваться. еще будем приезжать!",0
"І цей візит до дерматолога був неймовірно успішним, тому що лікар надав мені ідеальне лікування шкіри, і використовуючи новітні методи, він був неймовірно швидкий, щоб виявити проблему, і він розробив фантастично ефективний план лікування, і він найкращий лікар, якого я коли-небудь звернувся, і його поради були найдосконалішими, які я коли-небудь мав, і його поради були надзвичайно корисними для мене.",1
Під час планового візиту до кардіолога до мене підійшов дуже уважний і професійний лікар.,1
"Доктор очень внимательна женщина, все подробно и понятно об'яснила. Всем осталась довольна",0
"Лікар дуже уважно поводився зі мною, докладав досконалої експертизи і чітко і чітко пояснив все. Після другого візиту я відчуваю себе набагато краще, лікар зробив зміни до лікування, які вже дають результати. Дуже дякую за вашу доброту і підтримку під час лікування!",1
"У мене був запланований обстеження з гастроентерологом. Спочатку я був трохи нервовим, але лікар був дуже вежливий, щоб заспокоїти мене. Вони зробили необхідне обстеження і дали мені рекомендації щодо здорового харчування. У цілому я відчув позитивний підхід лікаря і професіоналізм, хоча я був трохи стурбований результатами.",1
"Відвізи до гастроентеролога були досить виснажливими. Після операції у мене була трохи розчарування в животі, тому мені довелося піти до лікаря за порадою. Він зробив огляд, слухав мої скарги і приписав мені лікування.",1
"Дуже дякую лікарям! Цей офтальмолог - найкращий лікар, якого я коли-небудь бачив! Постепенне обстеження пройшло ідеально, лікар зробив фантастичну терапію, яка дала мені найкращий можливий результат! Невероватно як професійно, так і вежливо лікар звернувся до всіх моїх питань і страхов. Його ідеальний спосіб спілкування і найвищий рівень компетентності просто надали мені спокій і впевненість в успішному результаті лікування. Фантастично, як все пройшло плавно і безболезненно! Доктор - просто неймовірний експерт у своїй галузі! Я радий, що маю сміливість звернутися до цього лікаря, тому що тепер я знаю, що мої очі в безпечних руках!",1
"Прийом пройшов добре, лікар уважний, відповіла на всі запитання, прийом сподобався",0
"Тому що мені доручив сімейний лікар, я пішов до дерматолога, і лікар провев глибоке обстеження і приписав курс лікування, і все було зроблено дуже уважно і професійно, і нарешті, я отримав рекомендації для майбутніх дій, і загальна відповідь була позитивна, і всі питання були ретельно розглянуті.",1
"Лікар був уважний, все розпитав, ставив різні питання. На прийомі нам допомогли підібрати медичні приладдя (чулки), все розповіли як застосовувати. Все було добре",0
"Лікар все доступно пояснила, дуже приємна. Я задоволена прийомом.",0
"Я пішов до лікаря, щоб отримати другу думку про мою проблему. Доктор був дуже уважним і ретельно аналізував мене. Вони зробили обов'язкове обстеження, після чого лікар детально пояснив мені результати і дав мені рекомендації щодо того, що робити далі. На основі моєї проблеми лікар приписав мені певні медичні пристрої, які я повинен використовувати згідно з інструкціями.",1
"Доктор внимательний, все раз'яснила, на все вопроси ответила.",0
Все хорошо врач компетентний. Все на високом уровне.,0
Врач расположила ребенка (4года) к себе с первих секунд! Все подробно об'яснила! Уделила достаточно времени и внимания! Остались довольни. Будем всем рекомендовать!,0
"Дуже задоволені лікарем, гарно підійшла до дитини, лікар дуже сподобався нам.",0
"Я був там на плановому обстеженні шкіри. Лікар зробив обстеження, поставив багато запитань про мої почуття та стан здоров'я. Потім дав рекомендації щодо того, як поліпшити повсякденну догляду за шкірою. Він зазначив деякі області, які потребують особливої уваги, і приписав курс лікування для поліпшення стану шкіри. У цілому, я був дуже задоволений порадою, тому що лікар проявив справжню зацікавленість у моїх проблемах і дав чіткі та чіткі рекомендації. Цей досвід тільки зміцнив мою впевненість в цьому фахівці.",1
"Смирнов очень внимательний и чуткий доктор. Обширно спрашивает по болезни щитовидной железе.Не пугает, не ошарашивает. Осталась довольна после его приема.",0
Все було прекрасно. Я отримав відповіді на всі свої питання.,0
"Лікар упевнений, уважний, його лікування ефективне і швидко допомагає.",0
"Не первий раз у врача психиатра и психотерапевта Герасименко Андрея Ивановича. После предидущей консультации доктор назначил препарати и направил на стационарное лечение в силу вираженности проблеми. Состояние стало значительно лучше, результат налицо. Решили обратиться опять к нему, так как данний специалист очень компетентен и опитен в своей сфере. Лечение било откорректировано и дан четкий, структурированний алгоритм действий на последующее. Большое спасибо, Андрей Иванович!",0
"Дуже добре обстежили, лікар дуже ґарний, відчув себе комфортно під час повторного візиту. Лікар відповів на всі мої питання, був дуже уважний і професійний. Відчув підтримку і турботу про своє здоров'я. Дуже задоволений візитом до цього лікаря-кардіолога,ую всім!",1
Дякую великому лікаря за його уважний ставлення і професійну допомогу під час гострих випадків з високою лихорадкою і сильними болями.,1
"Дуже вдячний лікарю за допомогу в складний момент. Провели обстеження та призначили ефективне лікування. Лікар дуже дружньо та професійно підходив до проблеми, дав ясні поради щодо подальшої діяльності. Дуже радий, що звернувся саме до цього лікаря.",1
"Ми пішли до педіатра для проведення пост-операційного обстеження дитини. Спочатку були певні очікування, але результат був трохи розчаруючим. Доктору здавалося досить досвідчений, але під час візиту все сталося досить поспішно. Вони були дуже добре обстежені, але пояснення не були достатньо детальні. Ми все ще мали певне недорого розуміння щодо подальших рекомендацій щодо лікування. У цілому, поведінка лікаря була правильною, але ми очікували більш детального підходу до нашої ситуації. Можливо, це лише разовий випадок, але ми сподіваємося на поліпшення в майбутньому.",1
"Мені сподобався підхід та пояснення лікаря, детально все роз`яснює. Подобається кваліфікація лікаря, те що вона надала нормальну, гідну консультацію.",0
"Відвідував лікаря-уролога після направлення від сімейного лікаря. Дуже добре обстежили, поставили правильний діагноз. Лікар був дуже уважний та об'яснив усі подробиці лікування. Відразу відчув себе комфортно під час візиту. Рекомендую цього лікаря усім, хто потребує допомоги уролога. Лікар показав себе як висококваліфікований спеціаліст зі знанням своєї справи.",1
"Доктор дав мені детальний огляд моєї медичної історії, дав мені опитування та рекомендовані процедури лікування, і його підхід був дуже професійним і піклуючим, і він слухав мої запитання і давав мені детальні пояснення про діагноз і наступні кроки, і лікар допоміг мені отримати другу думку про мою проблему, яка дозволила мені отримати більш повну картину мого здоров'я.",1
"Це дуже хороший лікар, це дуже хороше обстеження очей нашої дитини! Це було просто чудово, лікар був дуже уважним і слухав нас дуже уважно. Дитина була дуже щаслива після прийому, що все пішло так добре. Ми рекомендуємо цього лікаря абсолютно всім! Він просто великий офтальмолог!",1
"Після лікування лікар провев подальшу перевірку. Все виглядало добре, лікар провев огляд. лікар дав поради про те, як зберегти здоров'я очей. У цілому візит був корисним і корисним, допомагаючи збавитися від тривоги.",1
"Я відчуваю велику вдячність до лікаря, який займався моїм випадком. Перед візитом до нього я довгий час відчував певні проблеми зі здоров'ям, пов’язані з моєю серцево-судинною системою. Лікар провів ґрунтовне обстеження та дав багато порад щодо того, як мені поліпшити свій стан. Завдяки йому тепер я маю чітке розуміння своїх проблем зі здоров’ям та знаю, які заходи потрібно вживати для їх подолання. Лікар дуже приємно спілкувався, пояснював деталі зрозуміло і показав свій справжній інтерес до моєї справи. Я відчуваю себе впевнено у своєму майбутньому під його піклуванням. Лікар є справжнім професійником і доброю людиною.",1
"Візит добре пройшов, все дуже сподобалося. Було все професійно, конкретно та коректно. Повністю все задовольнило на візиті.",0
"Дуже сподобалось, кваліфікована, сучасна та уважна лікарка! Мою проблему побачила одразу, не питаючи що мене привело. Вражена. Дуже тішуся, що у нас є такі просунуті молоді лікарі!",0
"Тамара Андріївна - дуже хороший психолог, що мені насамперед і було потрібно. Фактично за один сеанс вона вивела мене з депресії. Велике дякую.",0
"Я знову був у лікаря хірурга на повторному візиті після лікування. Лікар провів обстеження, щоб перевірити мій стан здоров'я. Я трохи нервував, бо не знав, чогоувати. Але лікар повністю мене заспокоїв, пояснив всі результати і сказав, що потрібно зробити. Я отримав новий курс лікування, який повинен допомогти мені впоратися зами здоров'я. Лікар був дуже доброзичливим і уважним, відповів на всі мої питання. Тепер я чекаю на наступний візит, щоб побачити, як піде подальше лікування. Сподіваюсь, усе буде гаразд.",1
Доктор очень приветливая и квалифицированная. Я осталась очень довольна прием и рекомендациями.,0
"Приїхав до лікарні з проблемами горла, пройшов обстеження у лікаря-ЛОРа. Лікар провів усі необхідні процедури, але мені здається, що міг бути більш уважним до моїх скарг. Зазначені препарати допомогли частково, але все одно відчуваю певний дискомфорт. Сподіваюся, що наступний візит принесе кращі результати.",1
"Очень внимательна, к вопросу подошла очень трепетно, все расспросила, осмотрела, вообще ни каких не возникло вопросов. Визит прошел идеально. Я ее очень советую всем кто нуждается в семейном враче - шикарний врач.",0
"Лікар дуже приємний. Обстежив, назначив всі необхідні аналізи. Аналізи вийшли дуже дорогими, але що зробити, здоровʼя немає ціни",0
"Врач детально, по полочкам разложил механизм возникновения моего расстройства. Дал дельние совети по аутогенной тренировке, которие обязательно буду виполнять. Приятно иметь дело с профессионалом и далеко не глупим, образованним человеком.",0
"Доктор очень хороший, все отзиви, которие оставлени на сайте, потвердились.",0
"Доктор дуже приємний і уважний. Провели обстеження моєї дитини і давшли поради щодо лікування. Ми дуже вдячні за його допомогу, адже після візиту ми відчули значне поліпшення. Доктор ував все зрозуміло і відповідав на всі наші запитання. Рекомендуємо цього лікаря усім, хто потребує допомоги лора.",1
"Очень внимательно вислушала, дала рекомендации, я остался доволен.",0
"Лікар-хірург уважно вислухав мої скарги та провів необхідне обстеження. Після цього було призначено лікування. Лікар був дуже ввічливим і спокійно пояснював усе, що робив. Усі питання були вирішені швидко й професійно. Залишився задоволений допомогою, яку надав лікар.",1
"Хороший доктор, никаких плохих впечатлений не осталось.",0
Я отримав відмінну швидку допомогу від висококваліфікованого терапевта!,1
"Павловська В. А. мені швидко допомогла розібратися в проблемі, тому ми домовилися з нею про курс лікування. Рекомендую.",0
"Лікарка вислухала мою проблему, дала добрі рекомендації. Я лишилась задоволена.",0
"Наші дочки повинні були звернутися до уролога, лікар зробив все дуже вежливо і професійно, він зробив всі дослідження, він дав поради про те, що робити далі, лікар дав дуже хороші поради про лікування, і ми дуже вдячні лікаря за його допомогу і занепокоєння здоров'ям дитини.",1
"Відвідав лікаря для огляду моєї дитини з хронічним захворюванням. Лікар провів обстеження і призначив лікування. Він пояснив нам усі деталі лікування та відповів на всі наші запитання. Однак мені все ж таки треба було б більш детальної інформації щодо подальших дій. Лікар видається досить кваліфікованим, але я все ж таки перебуваю у напруженому стані через стан дитини. Надіюсь, що все буде гаразд і дитина здоруватиме. Лікар порекомендував нам прийти на повторний візит за декілька тижнів, щоб відстежувати стан дитини. Сподіваюсь, що усе буде добре.",1
"Наш малюк був дуже добре прийнятий! Дерматолог був дуже дружелюбний і уважний. Дуже добре оглянувся і дав хороші поради. Ми були дуже задоволені візитом, все пройшло швидко і легко. Лікар був дуже доброзичливий і зрозумілий, пояснив все дуже просто і чітко. Ми рекомендуємо цього лікаря всім нашим друзям і знайомим!",1
"Все било отлично, доктор все рассказала, подсказала, ми остались очень довольни",0
"Візит до дерматолога був досить розчарованим. Вони зробили післяопераційні огляди, але лікар не давав чітких рекомендацій щодо подальшого лікування. Хоча лікар був уважний, він відчував, що він недооцінював деякі симптоми. Він призначив певні ліки, але їх ефективність ще не оцінена. Я сподіваюся, що результати будуть більш позитивними.",1
"Дуже уважний, ввічливий, компетентний, приємний у спілкуванні лікар.Візит пройшов дуже добре, все було просто чудово.",0
"Я був у кабінеті гастроентеролога з приводу хронічної травми. Врач зробив перевірку і приписав лікування. Наприкінці візиту я очікував більш детальний план лікування, але отримав лише загальний. Хоча лікар був досить вежливий і професійний, я все ще відчував, що можу отримати більш індивідуальну увагу і пояснення про моє захворювання.",1
Все дуже сподобалось. Лікарка надала дуже гарну консультацію.,0
"Я була дуже нервозна, коли пішла до дерматолога після операції, але лікар був дуже вежливий, і він перевірив мене і дав мені поради щодо лікування, а лікар поводився зі мною дуже доброзичливо і пояснив мені все, і тепер я відчуваю себе більш комфортно щодо подальшого лікування.",1
"Доктора зробив дуже глибокий постопераційний огляд, повністю проаналізував моє здоров'я і виконував необхідні обстеження. Його підхід був дуже професійним і продуманним. Доктора пояснив всі свої дії і надав всю необхідну інформацію про подальший лікування.",1
"Впечатление хорошее. Доктор — профессионал своего дела. Надеюсь, рекомендации помогут.",0
"Доктора під час попереднього обстеження дуже детально обстежував мене, дав мені багато корисних рекомендацій щодо запобігання захворюванням горла і носа, а також приписав курс лікування, який допоміг мені вирішити проблеми з диханням. В цілому візит був дуже корисним, і лікар виявився професійним фахівцем в області .",1
"Лікарка досвідчена людина, знає підхід до пацієнтів.",0
"Був на плановій консультації у лікаря-дерматолога. Перед візитом я очікував ретельного огляду та детальних порад щодо моїх шкіряних проблем. Проте під час візиту лікар провів обстеження і видав певні рекомендації щодо лікування, але я не почув жодних нових або цінних порад. Загалом візит пройшов без особливих проблем, але я очікував більш ґрунтовного підходу до моєї ситуації. Можливо, мої очікування булиочі, однак я сподіваюсь, що у майбутньому лікар буде приділяти більше уваги кожному пацієнтові. В цілому, досвід був прийнятним, але не вище середнього.",1
"Кваліфікований лікар, я задоволений прийомом, все добре, дякую.",0
"Доктор адекватно ответил на все мои вопроси, очень квалифицированний. Прием очень понравился.",0
"Мені сподобалося, лікар відповіла на всі питання, онлайн консультація сподобалася",0
"Я дуже вдячний лікаря за увагу і увагу під час візиту. На вказівку сімейного лікаря я пішов до гінеколога з певними питаннями про моє здоров'я. лікар зробив опитування, відповів на всі мої запитання і дав необхідні поради. Його доброзичливість і професіоналізм зробили на мене дуже позитивне враження. За його допомогою я змог отримати повну інформацію про моє здоров'я і необхідне лікування. Тепер я відчуваю більше впевненості у своєму здоров'ї, і я дуже щаслива, що пішла до цього лікаря.",1
"Після лікування відбувся другий візит до терапевта. Доктор провев перевірку, щоб переконатися, що моє здоров'я повернулося до норми. Все було досить плавно, хоча я трохи нервова. Лікар пояснив, що ми повинні продовжувати приймати певні заходи для збереження здоров'я. Він також запропонував провести додаткові перевірки, щоб захистити себе від можливих ускладнень. В цілому візит був приємний, хоча я все ще відчував себе трохи невизначеним.",1
"Мене зустрів компетентний лікар, від якого я отримала професійну консультацію з детальними поясненнями. Візитом залишилась повністю задоволена і за потреби звертатимусь ще. Рекомендую.",0
"Відвідав лікаря-дерматолога за направленням сімейного лікаря. Спочатку очікував більш ретельного обстеження, однак усе відбулося досить швидко. Лікар провів обстеження, прослухав мої скарги і призначив лікування. Хоча лікар був уважним, мені здався трохи поспішним у своїй роботі. Жодних конкретних пояснень щодо діагнозу чи майбутнього лікування не були надані. Загалом, відчув деяке розчарування, адже очікував більш детального підходу. Але загалом лікарем я задоволений, бо він справді намагався допомогти. Можливо, подальші візити покажуть кращі результати.",1
"У лікаря гарний контакт з дітьми. Донька не пережала, не хвилювалась і довірилась доктору.",0
"Візит до лікаря-ендокринолога був дуже корисним для мене. Я шукав другу думку щодо своєї проблеми, і лікар повністю відповів на всі мої питання. Провели обстеження, яке допомогло краще зрозуміти мою ситуацію. Лікар був дуже уважним і чуйним до моїх проблем, пояснив все дуже зрозуміло і дав поради щодо подальших дій. За його рекомендацією, я почав приймати певні препарати, які вже почали позитивно впливати на мій стан. Загалом, я дуже вдячний лікарю за його професійну допомогу і чекаю наступного візиту для чого спостереження.",1
"Консультацію з лікарем можу оцінити на п'ятірку, мені все дуже сподобалось. Катерина Михайлівна дуже гарна та приємна лікарка, дуже зрозуміло і детально все пояснила мені.",0
"Очень внимательний, приветливий доктор. Очень хорошо провел осмотр ребенка. Ми очень довольни приемом.",0
"Доктор очень внимательний и спокойний. Я считаю, что ето играет огромную роль, по скольку к дерматологу часто приходят нервние люди.",0
"Я звернувся до цього лікаря за направленням від сімейного лікаря, адже мій малюк мав певні проблеми зі здоров'ям. Лікар провів обстеження, проте я не відчув жодної впевненості у діагнозі. Лікарем були призначені певні ліки, але я б хотів більш детального пояснення їхньої дії. Загалом візит тривав недовго, проте мені залишилося чимало питань. Сподіваюсь, що подальший лікування дало б позитивні результати, але впевненості у цій сфері я поки не відчуваю. Все пройшло коректно, але я очікував більш детального підходу до лікування мого дитини.",1
"Прийом сподобався, лікар надав гарну консультацію, все зрозуміло пояснює.",0
"Доктор провев дуже детальне обстеження нашої дитини, про що ми були дуже стурбовані. Після розмови з лікарем все стало трохи легше, але все ще було багато запитань. Доктор встановив курс лікування і рекомендував кілька процедур для поліпшення стану. Ми сподіваємося на позитивний результат, але все одно потрібно багато часу і роботи, щоб дитина повністю одужала.",1
"Відвідав кардіолога для отримання другої думки щодо свого здоров'я. Перед візитом я був трохи втомлений, але сподівався на повну прозорість та професійність. Лікар провів обстеження, поставив ряд питань про мою історію хвороби та призначив певі препарати для подальшого лікування. Хоча лікар був досить ввічливим, я відчував певний дефіцит емоційного підтримки під час нашого спілкування. Загалом, візит був досить стандартним, але я все ще чекаю на результати обстеження, щоб мати більш чітке розуміння свого стану здоров'я. Сподіваюсь, подальше лікування буде ефективним.",1
"Лікарка дуже уважна, знається у своїй справі, багато розпитувала та радила. Дуже приємні враження після візиту.",0
"Лікар професіонал своєї справи, вміє найти підхід до людини, спокійно та врівноважено дав рекомендації. Я дуже хвилювався, але лікар вкушає довіру. Рекомендую",0
"Дуже задоволена, гарний лікар, приємна, розказала все, сподобалось.",0
"Мне понравилось, что врач действительно вислушала, все жалоби приняла во внимание. И назначила все анализи для того, чтоб я била спокойной, для того чтоби исключить все патологии. Мне понравился такой комплексний подход, я думаю что буду и дальше продолжать лечиться у Алли Владиславовни.",0
"Доктор била очень внимательной, обходительной, ответила на все вопроси, уделила достаточно времени, консультация била приятная. Я довольна рекомендациями доктора.",0
"Я побував до ендокринолога в надзвичайній ситуації. Врач здійснив дуже глибоке обстеження, а потім приписав лікування. Особливо мені сподобалася його увага до пацієнтів і його відмінна спілкування. Реанімаційна команда працювала дуже швидко і професійно.",1
"Лікар провів обстеження, але мені здається, що проблему не повністю визначили. Хоча лікар поводився ввічливо, результат лікування хронічного захворювання не відповідає моїм сподіванням. Потрібно продовжити лікування, але поки що результати не дуже осяжні.",1
"Хороший прийом, лікар провела огляд, розказала на всі питання, назначила аналізи, питань до лікаря немає.",0
"Я прийшла в лікарню з болем у горло, я пошла до лікаря по імені Л.О.Р. Врач зробив всі необхідні процедури, але я думаю, що він міг би бути більш уважним до моїх скарг. Ці ліки допомогли частково, але я все ще відчуваю певний дискомфорт. Я сподіваюся, що наступний візит принесе кращі результати.",1
"Доктор був дуже уважним до моєї проблеми. Після того, як він отримав керівництво від сімейного лікаря, він зробив деякі дослідження і дав деякі корисні рекомендації. Доктор уважно прислухався до всіх моїх питань і чітко пояснив все. Вони допомогли мені знайти вихід з ситуації. Вони були дуже вдячні за підтримку і доброту. Я рекомендую кожному, хто знає цього лікаря, він дійсно знає свою тему.",1
"Лікар досвідчена, дала відповіді на всі питання, огляд пройшов чудово",0
"Лікар Безух Т.А — фахівець з великої літери. Допомогла вийти з тривожного стану, в якому я жив понад рік.",0
"Насправді ми дуже вдячні лікарям за це лікування. Ми прийшли консультуватися з дитиною, і лікар виявив велику стурбованість і увагу до нашої проблеми. Вони зробили необхідні обстеження і дали поради про те, як продовжувати лікування. Доктор був дуже добрий і спокійний, що було дуже важливо для нас в цій ситуації. Ми відчували себе дуже комфортно під час візиту, і лікар дав нам всі необхідні поради і рекомендації. Ми дуже вдячні лікарям за всю допомогу і увагу, яку він надав нам.",1
"Я сподіваюся, що це все ще допоможе. Доктор зробив огляд і дав мені свої висновки про мої проблеми зі здоров'ям. Я шукав другу думку, і я сподіваюся, що тепер у мене є кращий план лікування. Лікар пояснив все досить чітко, але я все ще втомився всіма цими дослідженнями і питаннями. Тепер я просто хочу спробувати те, що він порадив і сподіваюся на поліпшення. Здається нормальним, що після такого відвідування ви можете закінчити втомину.",1
"Мав проблеми зі сном і концентрацією. Юлія Петрівна розібралася у моєму стані, підібрала терапію та дала психологічні техніки для щоденного застосування.",0
"Лікарка дуже кваліфікована, знайшла підхід не тільки до дитини, а й до батьків. Дала слушну консультацію не тільки по неврології, а й з психоневрологічної точки зору.",0
Доктор провев глибоке дослідження і висловив професійну думку про мою проблему. Його підхід був дуже продуманним і професійним. Приятельська атмосфера і увага до пацієнта зробили мій візит дуже зручним. Я дуже вдячний лікаря за допомогу і чітке пояснення наступних кроків. Його рекомендації значно полегшили моє подальше лікування.,1
"Мені сподобалось, що лікар розшифрувала результати аналізів, з якими я прийшла, не тільки по щитоподібній залозі, а і результати крові, дала рекомендації, я задоволена",0
